job_title,company,location,salary,tags
Automotive Claims Adjuster,Protective,Work From Home,ğŸ’° $50k - $80k*,"Recruitment,Health,Support,Financial,Healthcare,Non Tech"
Sales Executive,G-P,ğŸ‡ºğŸ‡¸ United States,ğŸ’° $70k - $90k*,"Growth,Software,Executive,Management,Legal,SaaS,Support,Sales"
Senior Software Engineer Identity,Alpaca,ğŸ‡ºğŸ‡¸ United States,ğŸ’° $58k - $98k*,"Senior,Cloud,Reliability,Software,Engineering,Management,Technical,Support,System,Financial,Code,Test,Backend,Design,Engineer"
Lead .NET Developer,Capco,ğŸŒ Probably worldwide,ğŸ’° $63k - $103k*,"Recruiter,Growth,Senior,Cloud,Security,Software,Recruitment,C#,Management,Lead,Technical,Front End,Financial,Code,Developer,DevOps"
Sales Executive,G-P,ğŸ‡ºğŸ‡¸ United States,ğŸ’° $70k - $90k*,"Growth,Software,Executive,Management,Legal,SaaS,Support,Sales"
Support Specialist Operations,Restaurant365,ğŸ’° $110k - $130k*,N/A,"Software,Manager,SaaS,Support,Accounting,Operations"
Financial Controller,1840 & Company,"Quezon City, Metro Manila",ğŸ’° $80k - $110k*,"Banking,Controller,Growth,Senior,Software,Investment,Leader,Management,Lead,Operational,Support,Financial,Accounting,Strategy"
Intermediate Software Engineer,Stronghold,ğŸ‡³ğŸ‡¿ New Zealand,ğŸ’° $50k - $98k*,"Cloud,Engineering,Software,Management,Lead,Technical,Financial,Code,Growth,C#,System,Design,JavaScript,Rails,API,Front End,Support,Web,Node. JS,Backend,Fintech,Engineer"
SDE I,Upstox,Bengaluru,ğŸ’° $60k - $100k*,"iOS,Growth,UX,Go,Engineering,Software,Investment,React,Management,Flutter,Android,Code,Mobile,Design,Developer,Engineer"
International Staff Accountant,Acquia,ğŸ‡¬ğŸ‡§ United Kingdom,ğŸ’° $70k - $90k*,"Accountant,Software,Leader,Director,HR,Training,Travel,Support,System,Analyst,Payroll,Accounting,Financial,Microsoft,Operations,Excel"
International Staff Accountant,Acquia,ğŸ‡¬ğŸ‡§ United Kingdom,ğŸ’° $70k - $90k*,"Accountant,Software,Leader,Director,HR,Training,Travel,Support,System,Analyst,Payroll,Accounting,Financial,Microsoft,Operations,Excel"
Software Engineering Manager,FloQast,ğŸ’° $45k - $80k*,N/A,"Growth,Engineering,Software,Leader,Recruitment,Management,Lead,Manager,Founder,SaaS,Technical,Amazon,API,Web,Financial,Accounting,Design,JavaScript"
Senior Financial Analyst,StockX,ğŸ‡ºğŸ‡¸ United States,ğŸ’° $65k - $88k*,"Senior,Operational,Director,Analyst,Financial,Accounting,Marketing,E-Commerce,Non Tech"
Sales Director,Arcadia,ğŸ’° $50k - $100k*,N/A,"Analytics,Growth,Security,Software,Leader,Health,Management,Director,Legal,Executive,Travel,Support,Financial,Sales,Healthcare,Operations"
Senior Accountant,Polygon Technology,New York City - Remote,ğŸ’° $80k - $120k*,"Accountant,Senior,Ethereum,Software,Health,Crypto,Management,Technical,Manager,Recruitment,Support,Web,Accounting"
Drift MEV Quantitative Researcher,Drift Protocol,ğŸ‡ºğŸ‡¸ United States,N/A,"Defi,Go,Software,Code,Operations,Strategy"
Drift Business Development Manager,Drift Protocol,ğŸ‡ºğŸ‡¸ United States,ğŸ’° $50k - $120k*,"Defi,Go,Investment,Management,Manager,Sales,Financial"
Smart Contract Auditor,Nethermind,"Remote, Worldwide",ğŸ’° $50k - $80k*,"Golang,Defi,Engineering,Security,Ethereum,Software,Recruitment,Web3,Solidity,Code"
Business Development Manager APAC,Chorus One,Remote job,ğŸ’° $30k - $50k*,"Ethereum,Investment,Crypto,Management,Manager,Lead,Travel,Sales,Financial,Design,Cryptocurrency,Salesforce"
